eo_code,eo_model_name,eo_model_id,strategy_id,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,operation_start_date,avearage_day_operation_hours,operation_finish_date,level_1_description,constr_type,avearage_day_operation_hours_updated,avearage_day_operation_hours 2,operation_status 01.03.2022,Дата ввода в экспл.(полностью включая день),Плановая дата вывода из эксплуат.(полностью включая день),Наработка 1.03.2022
100000084492,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №37,05-KAR-UTTR-K101,1413011320,E01_01,Самосвалы карьерные,100000084492,Самосвал карьерный 730E-10 №37,E01_01,Самосвалы карьерные,Самосвал карьерный №37,05-KAR-UTTR-K731,first05-KAR-UTTR-K101,first05,5,KAR,05-KAR,UTTR,-,UTTR,K101,no_data,2022-03-01,20.37,2034-03-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.03.2022,01.03.2034,
100000084493,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №38,05-KAR-UTTR-K102,1413011320,E01_01,Самосвалы карьерные,100000084493,Самосвал карьерный 730E-10 №38,E01_01,Самосвалы карьерные,Самосвал карьерный №38,05-KAR-UTTR-K731,first05-KAR-UTTR-K102,first05,5,KAR,05-KAR,UTTR,-,UTTR,K102,no_data,2022-03-01,20.37,2034-03-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.03.2022,01.03.2034,
100000084494,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №39,05-KAR-UTTR-K103,1413011320,E01_01,Самосвалы карьерные,100000084494,Самосвал карьерный 730E-10 №39,E01_01,Самосвалы карьерные,Самосвал карьерный №39,05-KAR-UTTR-K731,first05-KAR-UTTR-K103,first05,5,KAR,05-KAR,UTTR,-,UTTR,K103,no_data,2022-03-01,20.37,2034-03-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.03.2022,01.03.2034,
100000084495,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №40,05-KAR-UTTR-K104,1413011320,E01_01,Самосвалы карьерные,100000084495,Самосвал карьерный 730E-10 №40,E01_01,Самосвалы карьерные,Самосвал карьерный №40,05-KAR-UTTR-K731,first05-KAR-UTTR-K104,first05,5,KAR,05-KAR,UTTR,-,UTTR,K104,no_data,2022-03-01,20.37,2034-03-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.03.2022,01.03.2034,
100000084496,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №41,05-KAR-UTTR-K105,1413011320,E01_01,Самосвалы карьерные,100000084496,Самосвал карьерный 730E-10 №41,E01_01,Самосвалы карьерные,Самосвал карьерный №41,05-KAR-UTTR-K731,first05-KAR-UTTR-K105,first05,5,KAR,05-KAR,UTTR,-,UTTR,K105,no_data,2022-04-01,20.37,2034-04-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.04.2022,01.04.2034,
100000084497,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №42,05-KAR-UTTR-K106,1413011320,E01_01,Самосвалы карьерные,100000084497,Самосвал карьерный 730E-10 №42,E01_01,Самосвалы карьерные,Самосвал карьерный №42,05-KAR-UTTR-K731,first05-KAR-UTTR-K106,first05,5,KAR,05-KAR,UTTR,-,UTTR,K106,no_data,2022-04-01,20.37,2034-04-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.04.2022,01.04.2034,
100000084498,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №43,05-KAR-UTTR-K107,1413011320,E01_01,Самосвалы карьерные,100000084498,Самосвал карьерный 730E-10 №43,E01_01,Самосвалы карьерные,Самосвал карьерный №43,05-KAR-UTTR-K731,first05-KAR-UTTR-K107,first05,5,KAR,05-KAR,UTTR,-,UTTR,K107,no_data,2022-05-01,20.37,2034-05-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.05.2022,01.05.2034,
100000084499,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №44,05-KAR-UTTR-K108,1413011320,E01_01,Самосвалы карьерные,100000084499,Самосвал карьерный 730E-10 №44,E01_01,Самосвалы карьерные,Самосвал карьерный 44,05-KAR-UTTR-K731,first05-KAR-UTTR-K108,first05,5,KAR,05-KAR,UTTR,-,UTTR,K108,no_data,2022-05-01,20.37,2034-05-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.05.2022,01.05.2034,
100000084500,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №45,05-KAR-UTTR-K109,1413011320,E01_01,Самосвалы карьерные,100000084500,Самосвал карьерный 730E-10 №45,E01_01,Самосвалы карьерные,Самосвал карьерный №45,05-KAR-UTTR-K731,first05-KAR-UTTR-K109,first05,5,KAR,05-KAR,UTTR,-,UTTR,K109,no_data,2022-06-01,20.37,2034-06-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.06.2022,01.06.2034,
100000084501,Самосвалы Komatsu 730E-10,68,3,Самосвал карьерный 730E-10 №46,05-KAR-UTTR-K110,1413011320,E01_01,Самосвалы карьерные,100000084501,Самосвал карьерный 730E-10 №46,E01_01,Самосвалы карьерные,Самосвал карьерный №46,05-KAR-UTTR-K731,first05-KAR-UTTR-K110,first05,5,KAR,05-KAR,UTTR,-,UTTR,K110,no_data,2022-06-01,20.37,2034-06-01,Полюс Магадан,960011512,"20,37",,НПВЭ,01.06.2022,01.06.2034,
