year,month,calendar_fond,downtime,eto,tr,to500,to1000,to2000,tr_suppl_systems,to_suppl_systems,to4000,to6000,tr_middle,to12000,overhaul_total,eo_code,level_1,eo_model_name,eo_model_id,eo_description,teh_mesto,mvz,constr_type,avearage_day_operation_hours_updated,operation_start_date,avearage_day_operation_hours,operation_finish_date,eo_main_class_description
2023,1,744,"64,14","20,46","40,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,2,672,"61,5","18,48","40,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,3,744,"63,800000000000004","20,46","40,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,4,720,"86,48","19,8","60,0","0,0","0,0","8,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,5,744,"68,14","20,46","40,0","4,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,6,720,"62,480000000000004","19,8","40,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,7,744,"91,82000000000001","20,46","60,0","0,0","0,0","0,0","10,0","10,0","13,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,8,744,"63,14","20,46","40,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,9,720,"68,82000000000001","19,8","40,0","5,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
2023,10,744,"88,46000000000001","20,46","60,0","0,0","0,0","0,0","0,0","0,0","0,0","8,0","0,0","0,0","0,0",100000008673,first03,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,03-CTT-CC01,1213011420,960000001,"20,37",2017-12-12,"20,37",2030-01-01,Самосвалы карьерные
