index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Класс ЕО,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные
Модель ЕО,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C
Год,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
Месяц,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"Простой, час",128.3,123.0,146.3,156.0,152.0,126.0,180.0,137.6,131.3,175.9,131.3,152.6,176.3,149.0,129.3,256.3,547.7,126.3,189.3,143.6,158.3,151.6,145.0,144.3,167.0,161.0,124.9,176.3,127.9,137.9,103.5,63.1,81.8,639.6,62.5,66.8
Трсред,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Трдоп.сист.,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ТО-4000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
КР,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0
ТР,80.0,80.0,100.0,100.0,100.0,80.0,109.0,91.0,80.0,120.0,81.0,104.0,96.0,99.0,81.0,100.0,100.0,80.0,120.0,80.0,101.0,101.0,96.0,92.0,95.0,97.0,80.0,120.0,80.0,81.0,79.0,40.0,41.0,60.0,40.0,40.0
ТО-1000,0.0,10.0,0.0,0.0,11.0,0.0,0.0,5.0,6.0,0.0,6.0,6.0,0.0,6.0,5.0,0.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,5.0,5.0,0.0,6.0,6.0,0.0,5.0,6.0,0.0,0.0,5.0,0.0,0.0
ТО доп систем,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
ТО-500,10.0,0.0,8.0,4.0,4.0,9.0,5.0,4.0,9.0,0.0,8.0,5.0,4.0,9.0,5.0,4.0,9.0,4.0,5.0,5.0,10.0,5.0,4.0,9.0,4.0,5.0,5.0,5.0,9.0,5.0,0.0,4.0,0.0,4.0,4.0,0.0
ТО-2000,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ТО-12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ТО-6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
ЕТО,40.92,36.96,40.92,39.6,40.92,39.6,40.92,40.92,39.6,40.92,39.6,40.92,40.92,38.28,40.92,39.6,40.92,39.6,40.92,40.92,39.6,40.92,39.6,40.92,40.92,36.96,40.92,39.6,40.92,39.6,20.46,20.46,19.8,20.46,19.8,20.46
